movie name,year,genres,poster_path
Desperate,1947.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",/o9s60RHrYzrzCajcOYd5zBfg6fB.jpg
...And Justice for All,1979.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",/xiMZwW8GJiJteLZttRwxVi7oFet.jpg
Star!,1968.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",/e4I6LDDCaQxBESDtPo0yemtF4JL.jpg
Beachhead,1954.0,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",/8i1fVUd5BiXmDojhCeKqzRG45fG.jpg
A Zed & Two Noughts,1985.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/sXUNMbdTJYeJzcsBpY3gYKS7oJa.jpg
Things to Do in Denver When You're Dead,1995.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",/ysKIolKO0376Nl5DV1fDAAPudEq.jpg
Convoy,1978.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/zpCy9R9tjD5sawsBk5TaXbFJhJz.jpg
C.H.U.D.,1984.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",/m3lzx4L9EUJ3owA83EKNOrz7zS0.jpg
Good Morning Miss Dove,1955.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/5ATkAMNFB4DPlgAtIxvlYlMeEIJ.jpg
The Astronaut Farmer,2006.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",/JRuTK4UopXeyJ7S39PP62XW5K3.jpg
Straw Dogs,1971.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",/kn85ADdkCrL3I2uWfKKhxpjolU5.jpg
The Lone Wolf Meets a Lady,1940.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/13tzYs7ssOnphQL7zECEye1d8Uj.jpg
Critters 3,1991.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",/m9XgzAJk6b9ei4F21IcH1lAzUZX.jpg
The Bone Snatcher,2003.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]",/dDvyQg8i6hUiU8PirlRLjwLKFFp.jpg
Grease,1978.0,"[{'id': 10749, 'name': 'Romance'}]",/iMHdFTrCYhue74sBnXkdO39AJ3R.jpg
Vanishing on 7th Street,2010.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",/u28Utjvana3RxQmOeBT4FTTwm12.jpg
House by the River,1950.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",/dAwEtp9YQcR13M47nWH56ZySepy.jpg
Becoming Jane,2007.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/iLNBdoaKzXNhZV4qbhJPkIEfLEg.jpg
The Dark Half,1993.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]",/x9ROx7QrJkMK7vet6uhsgrM4Y8Z.jpg
Midnight Express,1978.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",/afgAGwV1WXjMoooUzaSnw7XAvhj.jpg
RoboCop 3,1993.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",/9bRy74b1AZEJD5omzWPPAptPfa7.jpg
The Forbidden Kingdom,2008.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",/4jTVS5uij49cqzLKXjaQywIp7cV.jpg
Eagle's Wing,1979.0,"[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}]",/yT1iv5G153NMO3zgOlgskLwpwGR.jpg
Superman,1978.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",/n2DOECThGG7h7m5AjLi2Nuh23u1.jpg
Bleeder,1999.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",/xo48QMdeNwnB4cBpPpcGOiIr6Ae.jpg
Lord of the Flies,1963.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",/pTWtPWLKHzBsaDaGkePIQf4AW7e.jpg
Without Warning,1980.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",/walvlnCMgZxJT1OAYER3eYErEMu.jpg
On the Beach,2000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",/l2SpA9pfXDGRD74hkUbwH5Y222N.jpg
Trial and Error,1997.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",/e9QDfK4ChiUa8gekyg54cMqA3Uo.jpg
Taxi,1998.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",/13vrEB6T3DuDz26rWAUfHZV0eSm.jpg
When Will I Be Loved,2004.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",/tdN0C1l3saJUOSi4x60KZwDtW3k.jpg
Necessary Roughness,1991.0,"[{'id': 35, 'name': 'Comedy'}]",/1zadAB6RFb1z9kL9bTsWjRedOSK.jpg
Song of the Islands,1942.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",/6AYQpDkCY3TZ1fEjD0a7MdzcWLQ.jpg
Sweeney Todd: The Demon Barber of Fleet Street,2007.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 10402, 'name': 'Music'}]",/v2pOGxz1wi3plr9aT0zScH6Em4X.jpg
Chaplin,1992.0,"[{'id': 18, 'name': 'Drama'}]",/x9FZhpC0D9S2a9YWS4zMXXHNHmS.jpg
Nothing to Lose,1997.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",/15g7RCzoqWit51lKTr3zg1NjnBx.jpg
Beyond the Time Barrier,1960.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",/4Ipqv3ClAgeb268CuLj2GdlrfV5.jpg
Friday the 13th: The Final Chapter,1984.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",/p5wiO9KgZH78Kvo1L6dPz8uECJ9.jpg
Beastmaster 2: Through the Portal of Time,1991.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",/AkvSKhzkWOOQGxe7I3LOaASiD3x.jpg
Thief of Damascus,1952.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",/8MTqb5t4Gnjuu3PsrSuEHJajEiz.jpg
Green Dolphin Street,1947.0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",/sazvgRTqGGyMEP0sFRiZJyXuiSB.jpg
Nell,1994.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",/4XLF6QkUqMDL5SLDEw1nrpSMk8N.jpg
Monkey Business,1952.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",/uRl8NZlkqX30lpLXpxqp0CKGNJ4.jpg
The Teacher,1974.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",/pVCXQvVc2uEj3AOvr0nInHLckNG.jpg
Someone to Watch Over Me,1987.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",/3N0VBgafdANJjVulHlbdXItLJb6.jpg
I Could Never Be Your Woman,2007.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/wLALWNYH9lMq6dVhEMAIJXLCPSU.jpg
9 Dead Gay Guys,2003.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",/cDmHuHBz6p5l8WrCphazPtnIbOV.jpg
Sharpe's Siege,1996.0,[],/dokOYZ84aRFWkDmoHYa7VSJ5iAK.jpg
Amador,2010.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",/6VMPY7vJbNjNjPCydyC4B0DFFrT.jpg
Kadosh,1999.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",/pxfcYyC0Z9Gds4dMxdzTnFKPcDS.jpg
Grace of My Heart,1996.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",/uxHVD9NKZPA1PqGhr7XJDVhY8Yi.jpg
Images,1972.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",/ww0C0c7sguccgfnHR7UjFgWLbCT.jpg
How They Get There,1997.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",/sqGMBej0vBy2NXF4HhAuGg0ctYt.jpg
The Gorgon,1964.0,"[{'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}]",/yk0hJB3hy3o6cAzv5tjcPoKQd9p.jpg
The Prime of Miss Jean Brodie,1969.0,"[{'id': 18, 'name': 'Drama'}]",/203kvF6DlEviIEfsft7Mg5wRHWW.jpg
Sioux City,1994.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",/eGER5UrsC2yhOaAitGDKGmLbQww.jpg
The Moment After 2: The Awakening,2006.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",/5qIQOy89VkCc0IEFVnwoQ7UCsPj.jpg
Garage Days,2002.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",/AhbXufZTchzrBjCMVKMrsI12s8G.jpg
"Laugh, Clown, Laugh",1928.0,"[{'id': 18, 'name': 'Drama'}]",/kfVnNrJbKJRxzfGGWD0byoZl0Qw.jpg
A Shot in the Dark,1964.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",/eIHCtW49NgGr4s0WEfpSGFBrJCv.jpg
The Angels Wash Their Faces,1939.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/bGusLYnTCsK8rWn4r5hcvMJim19.jpg
Shaft,1971.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",/ez5aGeyOvG2F1QzKYHzkMmkDuM2.jpg
Just Wright,2010.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/mcqvNQj8WlnMbXKKBxjmDmMjHRU.jpg
Casper: A Spirited Beginning,1997.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/wiqN1ecTBEFbOZPdM77wrpAVQbY.jpg
The Big Trees,1952.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]",/23kldjf9wR14LzYJqtV1W8Bf04w.jpg
Bless the Child,2000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",/foyJG55V3fBA2vnxojgMY4ROqcd.jpg
The Program,1993.0,"[{'id': 18, 'name': 'Drama'}]",/htlXORTSRrJggKYsMMwIagGMXUG.jpg
Flesh,1968.0,"[{'id': 18, 'name': 'Drama'}]",/fMnuYzQuUTe0n0N69siEMCifVip.jpg
San Francisco,1936.0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/zQF1UDB0ck4dRfKAn4XixGrCkjx.jpg
13 Ghosts,1960.0,"[{'id': 27, 'name': 'Horror'}]",/dMrCJfJxYfdw4IY1Rh3xWAprrvi.jpg
Aurore,2005.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10769, 'name': 'Foreign'}]",/vuP0Fti4LRfQAaMRdxDRtr88GOW.jpg
Romasanta,2004.0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",/8maAUntIvqRCVDA0eLO1wDtQFPG.jpg
Movie Movie,1978.0,"[{'id': 35, 'name': 'Comedy'}]",/nqqSr8RwEN1nnUa3l6Hjz2lW3kS.jpg
Ernest Goes to School,1994.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",/9yfXHHySBsWClyLLMPnckW1EUxk.jpg
The Comebacks,2007.0,"[{'id': 35, 'name': 'Comedy'}]",/cR9dn4Vbmw9nDZHlBSZcZJGQy41.jpg
Stage Beauty,2004.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/tBzAWltVOWTpw4KNFd6dz02PhqV.jpg
Jefferson in Paris,1995.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/qKr3Mgo1HB3HkGTAVoVEpOSWlp2.jpg
The Way,2010.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/k2BroLReul6LIAzcO6rdmTmcKAP.jpg
The Iron Lady,2011.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",/e67tal4u66eFz8yGnJGTO5FYRxY.jpg
Dawn of the Mummy,1981.0,"[{'id': 27, 'name': 'Horror'}]",/j20Xf7uCZzHMP90yIaVK0eZiGIZ.jpg
The Land Before Time III: The Time of the Great Giving,1995.0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",/gs6TkZsUzBqDa7DV0MZbc2EAMkW.jpg
The 39 Steps,1959.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",/cZLUatB2zJy03q2d2tyAmlTevKl.jpg
Next,2007.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",/lYqsINoop9spG1FV4SjxXvcYfss.jpg
The Lady Vanishes,1938.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",/edL8YmyR1BjICz3mp1fhUqSOPnF.jpg
Go Fish,1994.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/dyKh0Kv9XmG22ZRioJINKMts262.jpg
The Contract,2006.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",/a66bDag0gQrFWycqfKbImacUFbV.jpg
Ordinary Decent Criminal,2000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",/o4Ff4WvP2UhvzEVu76GZuXm9WcA.jpg
O Auto da Compadecida,2000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/uHEmM49YphluJnGep8Ef1qwD2QX.jpg
Clash of the Titans,2010.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",/n8W2Y72VzSi8Yz6IvYWwfoiMTS6.jpg
The Killers,1964.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",/eBuseBnSBD3Bh4CuUOLq3F4u53t.jpg
G.I. Jane,1997.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",/yf4zJg6ACAhH4fkHSdEDrBUuEyg.jpg
Snow Falling on Cedars,1999.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/1U1U7cKN19roW3YgfzP6EVMAWXj.jpg
Chitty Chitty Bang Bang,1968.0,"[{'id': 10402, 'name': 'Music'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",/m2z9NV6ZWXdWH6xdpF9yBJveEPa.jpg
Yanks,1979.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",/1J5vzYsYlB6BmUOsrDfAu86359d.jpg
Meet Wally Sparks,1997.0,"[{'id': 35, 'name': 'Comedy'}]",/6UMSCSprWFFjlllPWSppIZ9Mrn4.jpg
The Redhead from Wyoming,1953.0,"[{'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]",/jZCYHEVwjEb3kisFgQGvizijmg.jpg
Track 29,1988.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",/3V9PpZyxg9vzs6VW1vTrZ6x5Rvi.jpg
Open Season 3,2010.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",/djxT6i7xxJWAayNQY1imB879SbC.jpg
Tanya's Island,1980.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/pIp6cmUqnvn3bM37Tkb9kVn9RwI.jpg
And God Created Woman,1988.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/5ZU9BtYNRk2FI7jemMy1bVZkB4y.jpg
"Jeff, Who Lives at Home",2011.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",/hXZcaZrqmUIPBrsWr3vEK2VSnZv.jpg
The Final Cut,1996.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",/wCLOI343p8kCWFnBWIVKQdXMxmy.jpg
The Man in Grey,1943.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",/l1m1fmdQsYKMno7sFdPofILoNQU.jpg
Das schreckliche Mädchen,1990.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",/oNZYn9BwucoJ001qFanFesuxaIi.jpg
A Single Man,2009.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/eY2KXtuQG5YUsJxuuEKayzu7ISw.jpg
Wolfman,1979.0,[],/6QDGUAQJDqVCsGAYpw5lu9Jmazy.jpg
The Mortal Storm,1940.0,"[{'id': 18, 'name': 'Drama'}]",/tGfDVxfcNRN3dvQUDW4VYCpNQOv.jpg
Rendezvous,1935.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",/3urAnXm5GblVDFoWi8nx5WQahVU.jpg
If Winter Comes,1947.0,"[{'id': 18, 'name': 'Drama'}]",/8jROxG2K2Qanm83DrPc0ExQgXrp.jpg
Nice Guy Johnny,2010.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",/zh7fiXWie2VAE7PQDyos4eKON5O.jpg
Bangkok Dangerous,2008.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",/eyHn8A0lze1pbCNxv0UsATBOmyv.jpg
Charro!,1969.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",/xdQJRn9Xpz8A1JyEDUB6AyAiB3J.jpg
The House of Mirth,2000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/9zjypr6tfy5GR4n58qKGtExJ7hG.jpg
Outland,1981.0,"[{'id': 878, 'name': 'Science Fiction'}]",/vft2bkcEqBsEKyBlAxRPcpnJ7ig.jpg
Band Baaja Baaraat,2010.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/oxUgQdnU2AaqtQieEo4c3r5ak99.jpg
Cinderella,1950.0,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10749, 'name': 'Romance'}]",/cdf4J7tDhSPAghWWgx9EnwQWBfF.jpg
The Last Song,2010.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",/90ICc0MXgDgTtWD3qfA1BfkA21t.jpg
Vincent,1982.0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",/h64Zd7aWWGL1ctsU3W4i2rQOwTk.jpg
Zebra Lounge,2001.0,"[{'id': 53, 'name': 'Thriller'}]",/nAtqLzm44xUHxrb3xW39MBlukeX.jpg
My Fair Lady,1964.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",/AiyysCDn0l5SHO5dTGHsrKjPBN8.jpg
The House of Yes,1997.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",/uBu2KizwNg1NAduWOILTDL3UqoY.jpg
Princesas,2005.0,"[{'id': 18, 'name': 'Drama'}]",/aHg2IOpslBZGiW7IipGCGmect00.jpg
Brother Orchid,1940.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",/tb7wx4BX0wdw8G3AaMvCPnKw7mb.jpg
